station_id,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
1815968237323833702,Beverly Rd,482.1,1
633fbc4c-7617-47ba-a393-aad7a8d26a3e,Smith-9 Sts,1602.4,0
66dd1f44-0aca-11e7-82f6-3863bb44ef7c,Greenpoint Av,128.8,1
f34ea09d-32f9-492c-9124-99059bc0b5dd,Astoria-Ditmars Blvd,1104.0,0
b371c432-b682-412f-9b85-8df84ce7a9f3,135 St,65.2,1
1799624430022654108,Smith-9 Sts,1233.1,0
372c592e-09d8-400c-9595-2aa3510f39b0,Knickerbocker Av,350.2,2
ed279ef2-52ee-4ff2-9a52-edd8137ea034,46 St-Bliss St,313.2,2
dccaeeb5-c53a-4f48-80e6-05675b71a8c8,125 St,168.2,1
1838071008881986168,111 St,337.8,1
53ef19c6-eaa7-47f7-807e-f51b574b1be0,Dyckman St,517.5,0
1851674198082642572,111 St,1302.3,0
576abdc1-986e-48b0-bde2-051a13d3ff59,40 St-Lowery St,178.0,2
e9b3a725-6963-4151-8f7f-9beeb51fa20f,Seneca Av,312.9,1
56b3ca32-104a-4920-a879-a97a820858c4,Prospect Park,220.9,1
528ed1e0-75aa-45be-8afe-c3f1c950782f,Middle Village-Metropolitan Av,1813.4,0
0687075b-cf2d-4130-a859-fe841aafbd3f,21 St-Queensbridge,496.5,1
f401cd5f-cb41-41f8-a857-4a4dfe778f94,Central Av,423.0,1
6d766daf-9298-4059-a329-1818582d495f,Hunters Point Av,779.6,0
66dbef15-0aca-11e7-82f6-3863bb44ef7c,Court St,743.1,0
66dd4c5f-0aca-11e7-82f6-3863bb44ef7c,72 St,271.1,3
33840944-aa92-4d91-9de8-d29e5cd0b2d9,Bergen St,87.5,1
d11b9869-8964-4b79-aafc-4b60ad1b44c4,Central Av,251.5,1
545a32d3-b74c-4dc2-b82c-a6d185dd4666,167 St,309.2,2
7d5fa1f0-4069-4d5d-b735-5d500597394a,Canal St,267.6,5
ffae66ec-7c16-436f-bd0a-eedf81d580e7,Mosholu Pkwy,364.4,3
bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,Greenpoint Av,573.7,0
66dbec40-0aca-11e7-82f6-3863bb44ef7c,Delancey St-Essex St,817.4,0
1986707977001495180,Astoria-Ditmars Blvd,991.4,0
66dce9b5-0aca-11e7-82f6-3863bb44ef7c,Marcy Av,142.6,2
b4974d89-932c-4a9f-a264-2ea0cf70613e,181 St,404.4,1
525535e3-dde3-47b4-9c2e-0174eaa4f2bb,Middle Village-Metropolitan Av,1998.8,0
2637fed8-1e2a-460b-83eb-3eb32ace0f4e,33 St,269.8,3
1876800925490112950,174 St,1089.1,0
66ddeaff-0aca-11e7-82f6-3863bb44ef7c,96 St,154.1,1
66dc686c-0aca-11e7-82f6-3863bb44ef7c,34 St-Penn Station,86.1,3
66de677e-0aca-11e7-82f6-3863bb44ef7c,103 St,197.6,2
66db3053-0aca-11e7-82f6-3863bb44ef7c,Chambers St,82.6,9
1831178352265562334,Parkside Av,226.7,2
a2ef8ed2-6031-4049-b7dc-9838ef39889b,Intervale Av,246.6,3
7a1ad7c0-4958-4354-91a1-11bf13348abd,Middle Village-Metropolitan Av,2125.7,0
0138452a-b9f4-4aee-80b0-7fae9a122ffe,Lexington Av/53 St,434.9,1
180b83a0-329c-4069-87be-df862cb1baed,Church Av,252.6,1
1875415144760576328,231 St,129.4,1
c190f78c-77ad-469e-aecc-e2af7bb6d92a,96 St,1342.2,0
4f814d78-5d8d-458b-877e-2ca449b865be,145 St,285.0,1
d5cabb43-6c78-4022-964e-a8b02470509e,Sterling St,49.3,1
0ddb965d-95ef-4ce3-bde6-81a56ac1fbd2,145 St,146.0,2
66de205d-0aca-11e7-82f6-3863bb44ef7c,7 Av,484.8,1
c606bae0-889c-47c3-8202-9463ef147655,Kingston Av,743.7,0
26cae473-0e59-4af7-bad5-bb6fec85c8bc,Seneca Av,162.8,2
66dbcd6c-0aca-11e7-82f6-3863bb44ef7c,Clinton-Washington Avs,600.7,0
b96507c5-7c90-499d-9c45-58f25d6f636a,170 St,398.8,2
64f0f28c-bedc-42d5-b107-ecdd48fc30cd,49 St,68.7,6
7aa86431-bbc5-4d9c-8198-9630c9d32a22,Church Av,389.6,1
1888015107269225164,50 St,415.3,1
498d7e8e-5164-4f26-9ce6-399947d73b1a,Jefferson St,293.2,2
f681f980-185d-45b9-8490-bb2606624dd4,Bedford Park Blvd-Lehman College,445.7,1
d18512f9-52c8-4175-92b9-b6258dc30748,Crown Hts-Utica Av,725.4,0
66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,Nassau Av,593.7,0
0fde06c2-632c-46a9-8866-f4e855604f74,Times Sq-42 St,195.5,9
66dbe96d-0aca-11e7-82f6-3863bb44ef7c,23 St,592.2,0
42c3bb6e-0478-4e4a-af10-151f5f4dffb9,52 St,2027.1,0
1786698974100683436,Bedford Av,55.4,1
66dde4ef-0aca-11e7-82f6-3863bb44ef7c,96 St,241.9,2
22ab59a8-0af4-4101-9350-a7af88e37c2e,125 St,495.4,1
4e9a1c3a-20e2-4fd5-b8de-fbf8d43e7bcc,Prospect Park,213.6,1
c638ec67-9ac0-416f-944f-619926144931,Grand Central-42 St,168.4,4
2124426307973079924,Bay Ridge-95 St,673.3,0
1849009654626746672,Woodhaven Blvd,798.3,0
0f98907a-d4cc-45e0-b174-7d9dfda74106,Steinway St,284.2,1
66dd46a2-0aca-11e7-82f6-3863bb44ef7c,86 St,422.5,1
66dd4ec7-0aca-11e7-82f6-3863bb44ef7c,79 St,381.8,2
d979131e-0b9f-4aa2-88c5-46d4ff94abc8,Atlantic Av,253.6,4
1814901062206225038,Winthrop St,1075.3,0
655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,96 St,1387.8,0
66de1516-0aca-11e7-82f6-3863bb44ef7c,Smith-9 Sts,1710.8,0
66de0861-0aca-11e7-82f6-3863bb44ef7c,96 St,97.9,2
1f088432-0460-421e-a1d9-36890fa5396d,Longwood Av,410.3,1
2124426077519611940,86 St,492.3,1
66ddea99-0aca-11e7-82f6-3863bb44ef7c,7 Av,143.0,1
29a41b09-698f-43e2-82ff-f94f73e74841,45 St,408.0,1
517409d3-a94a-4140-a6de-ff0de9221ed2,Jackson Av,263.3,2
ebae0b66-e463-4ded-9b7a-43c0aca9b37a,138 St-Grand Concourse,433.9,4
66dd17a5-0aca-11e7-82f6-3863bb44ef7c,Nassau Av,316.7,1
b4f990dd-36bb-46b3-9eea-4b980bd43c2d,Fordham Rd,15.7,2
7f402242-dc1b-4a48-ba21-58c4fa7216b4,61 St-Woodside,1554.5,0
e152a2e1-c510-404e-a100-24246bb6cc95,30 Av,1142.8,0
f833d403-2cf5-424a-a3b3-0314a44b4a67,East Broadway,382.9,1
c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,Whitehall St-South Ferry,221.3,3
66de2707-0aca-11e7-82f6-3863bb44ef7c,Lexington Av/63 St,328.0,3
1854538387432581604,111 St,710.5,0
66de2274-0aca-11e7-82f6-3863bb44ef7c,77 St,356.9,2
66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,2 Av,227.0,1
b442a648-e9f4-4893-951a-64d258bc0e55,50 St,297.9,2
66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,Myrtle-Willoughby Avs,236.7,1
66dd4a52-0aca-11e7-82f6-3863bb44ef7c,66 St-Lincoln Center,169.6,2
2100948436010992354,33 St-Rawson St,1283.5,0
66db3687-0aca-11e7-82f6-3863bb44ef7c,Clark St,381.6,2
44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,174-175 Sts,891.5,0
47da6ab2-c841-4f2d-97ef-dd8d441c96b1,183 St,510.8,0
f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,Tremont Av,453.3,1
6e5a8cab-cf1a-4584-8133-01835b56ad71,161 St-Yankee Stadium,443.1,2
b896d83d-5524-4c9c-a2aa-c1b0edaadc22,167 St,280.3,3
1835618878584115330,110 St,199.5,2
66dd26f9-0aca-11e7-82f6-3863bb44ef7c,Court Sq-23 St,552.0,0
ff9581d3-3e1a-463a-bdab-d8150c468be2,Astoria Blvd,694.1,0
66dc17df-0aca-11e7-82f6-3863bb44ef7c,Grand Central-42 St,298.2,2
1929504694747056164,14 St,862.4,0
595cf79f-7783-4373-b3d5-775bcf76033b,167 St,554.9,0
66dc3782-0aca-11e7-82f6-3863bb44ef7c,Metropolitan Av,469.0,2
66dc292c-0aca-11e7-82f6-3863bb44ef7c,Times Sq-42 St,53.6,7
bbc3c1df-f7db-4f54-8d5c-b8f4269ecb48,61 St-Woodside,1858.9,0
d265dbc7-ef55-4f5b-8a2b-f2015dc71fb8,36 Av,381.4,1
66dea7b5-0aca-11e7-82f6-3863bb44ef7c,Lexington Av/53 St,22.9,2
d470e82e-d109-4e2e-b66a-f5e944cbfe97,Sutter Av-Rutland Rd,423.3,1
3eb10c63-ea4c-4161-b07d-a29034f7367a,Brook Av,255.6,1
1846085734612252774,Junction Blvd,300.3,2
7dda8844-60ba-4449-b05c-54c1d14ab5fb,Rector St,142.1,8
