start_station_id,matched_station_name,borough,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,avg_member_share,avg_trip_duration_min,ebike_share,avg_weekday_rides,avg_weekend_rides,weekday_weekend_ratio,rides_per_dock,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,income_band,poverty_band
3728.04,Empire Blvd & New York Ave,Brooklyn,36047032900,40.66403,-73.94769,23.0,3901,10.836,0.822,12.29,0.612,12.172,7.313,1.66,0.47,92193.0,23.1,0.5464403583215465,13559.8,302.6,2.0,Sterling St,Mid-High,Elevated
3728.05,New York Ave & Montgomery St,Brooklyn,36047031900,40.66509,-73.94824,20.0,4554,12.477,0.851,11.49,0.703,13.946,8.788,1.59,0.62,90357.0,7.2,0.7071865443425076,8642.4,341.5,2.0,Sterling St,Mid-High,Low
3731.11,14 St & 7 Ave,Brooklyn,36047014901,40.663779,-73.98396846,24.0,31563,86.474,0.861,10.39,0.833,85.31,89.394,0.95,3.6,166161.0,8.4,0.462992125984252,8469.7,415.0,1.0,7 Av,High,Low
3736.03,Bedford Ave & Montgomery St,Brooklyn,36047032500,40.665816,-73.956934,27.0,7518,20.597,0.796,13.26,0.745,20.996,19.596,1.07,0.76,94328.0,9.3,0.6438305709023942,16121.0,539.8,0.0,Botanic Garden,Mid-High,Moderate
3739.06,4 Ave & 17 St,Brooklyn,36047014300,40.665507,-73.993037,23.0,7881,21.953,0.831,11.16,0.668,22.222,21.275,1.04,0.95,119594.0,9.5,0.4701335207308503,6551.4,17.3,1.0,Prospect Av,Mid-High,Moderate
3751.05,Crown St & Troy Ave,Brooklyn,36047033300,40.66559,-73.93712,20.0,8190,22.438,0.885,10.18,0.613,24.889,16.288,1.53,1.12,103333.0,20.5,0.5,7330.8,509.3,0.0,Crown Hts-Utica Av,Mid-High,Elevated
3759.07,Kingston Ave & Montgomery St,Brooklyn,36047033100,40.66481,-73.94269,19.0,9515,26.068,0.886,8.46,0.587,29.851,16.577,1.8,1.37,44347.0,29.7,0.5880665519219737,12234.5,512.2,0.0,Kingston Av,Low,High
3762.08,10 St & 7 Ave,Brooklyn,36047015100,40.6662078,-73.98199886,23.0,39187,107.068,0.87,10.32,0.822,105.622,110.712,0.95,4.66,188866.0,4.5,0.4634146341463415,11807.6,143.0,1.0,7 Av,High,Low
3768.02,Crown St & Rogers Ave,Brooklyn,36047032100,40.66639,-73.95346,21.0,9543,26.145,0.825,12.5,0.772,25.858,26.865,0.96,1.24,86685.0,15.5,0.6924131627056673,13666.9,287.1,3.0,President St-Medgar Evers College,Mid-High,Moderate
3771.06,14 St & 5 Ave,Brooklyn,36047014101,40.666287,-73.98895053,21.0,30513,83.597,0.88,10.96,0.774,86.222,77.01,1.12,3.98,215104.0,13.3,0.4803738317757009,7053.1,344.7,2.0,Prospect Av,High,Moderate
