station_id,station_name,latitude,longitude,GEOID
2108372139456801688,Pacific Ave & Communipaw Ave,40.711354,-74.062446,
2116635868495600156,Danforth Ave & Sullivan Dr,40.70436,-74.09811,
66dd7b37-0aca-11e7-82f6-3863bb44ef7c,Hamilton Park,40.727595966,-74.044247311,
2158919319277979600,Mallory Ave & Roosevelt Ave,40.72203,-74.08596,
66dd6000-0aca-11e7-82f6-3863bb44ef7c,McGinley Square,40.7253399253558,-74.06762212514877,
2157736614125310040,Culver Ave & JFK Blvd,40.71005,-74.08576,
2165507807810224012,Danforth Ave & JFK Blvd,40.70056,-74.09474,
66dddf5f-0aca-11e7-82f6-3863bb44ef7c,Leonard Gordon Park,40.74590996631558,-74.0572714805603,
2108372029596633484,Dr. Lena Edwards Park,40.713203,-74.058261,
66dd7fe2-0aca-11e7-82f6-3863bb44ef7c,Brunswick St,40.7241765,-74.0506564,
66dd80ac-0aca-11e7-82f6-3863bb44ef7c,Newark Ave,40.72152515,-74.046304543,
2116885281736356212,Caven Point Recreation Fields,40.69222,-74.08025,
66dd8b48-0aca-11e7-82f6-3863bb44ef7c,5 Corners Library,40.734961020009514,-74.0595030784607,
66ddd81a-0aca-11e7-82f6-3863bb44ef7c,Lafayette Park,40.71346382669195,-74.06285852193832,
3371df76-39db-43ab-b3d6-fac0be55311f,Adams St & 2 St,40.73981372311843,-74.03690412640572,
66dd6441-0aca-11e7-82f6-3863bb44ef7c,Newport Pkwy,40.7287448,-74.0321082,
2108373197827738014,West Side Ave Light Rail,40.714964,-74.08829,
4aecd6f2-8a84-4bed-a528-dc6870877292,Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,
1844599666569400604,River St & 1 St,40.73721535335381,-74.02886540972803,
5aa81a37-ea1d-4bf6-ab40-4751c6b4fb08,Fairmount Ave,40.72572613742557,-74.07195925712585,
bd6f422b-d7ae-4d7e-9261-653fdd8e6888,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,
5faf99b8-9046-450f-9d2a-d13279b3d016,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,
66ddddb4-0aca-11e7-82f6-3863bb44ef7c,Monmouth & 6th,40.72568548362901,-74.04879033565521,
66ddd8a8-0aca-11e7-82f6-3863bb44ef7c,Brunswick & 6th,40.72601172964625,-74.05038893222809,
2088688422524183306,River St & Newark St,40.73672227316331,-74.02900660353771,
cbc48689-7805-49dd-9669-5471f4b7b6fb,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,
