start_station_id,matched_station_name,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,median_daily_rides,avg_member_rides,avg_casual_rides,avg_member_share,active_days,avg_rides_per_active_day,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,rides_per_dock,stations_in_tract,income_band,poverty_band,no_vehicle_band,total_households,households_no_vehicle,borough,avg_weekday_rides,avg_weekday_member_share,avg_weekend_rides,avg_weekend_member_share,weekday_weekend_ratio
3451.01,34 St & 5 Ave,36047008400,40.654098,-74.001131,19.0,2544,7.395,7.0,5.529,1.866,0.764,344,7.4,116100.0,11.4,0.6541353383458647,4362.3,234.8,1.0,36 St,0.39,3,Mid-High,Moderate,Moderate,1064.0,696.0,Brooklyn,7.268,0.782,7.714,0.719,0.94
3454.01,Clarkson Ave & Troy Ave,36047080800,40.65630069792407,-73.93647529780917,23.0,2042,5.768,6.0,5.147,0.621,0.894,354,5.8,13337.0,71.2,0.8627187079407806,2308.6,1158.4,0.0,Winthrop St,0.25,3,Low,High,Very High,743.0,641.0,Brooklyn,6.594,0.915,3.452,0.836,1.91
3463.01,Clarkson Ave & E 37 St,36047081600,40.65577,-73.9432,22.0,5663,16.804,16.0,15.056,1.748,0.897,337,16.8,92784.0,4.0,0.4866595517609391,5216.0,598.6,0.0,Winthrop St,0.76,1,Mid-High,Low,Low,937.0,456.0,Brooklyn,19.494,0.91,10.052,0.863,1.94
3472.03,Clarkson Ave & Nostrand Ave,36047080400,40.6555,-73.94975,25.0,7576,20.756,21.0,16.852,3.904,0.822,365,20.8,58413.0,18.7,0.6834532374100719,7325.2,133.6,1.0,Winthrop St,0.83,4,Mid-Low,Elevated,Moderate,1390.0,950.0,Brooklyn,21.571,0.842,18.712,0.772,1.15
3480.04,Parkside Ave & Flatbush Ave,36047079601,40.65563,-73.95968,25.0,11930,32.685,32.0,25.521,7.164,0.801,365,32.7,81629.0,19.0,0.7969639468690702,14320.8,157.7,1.0,Parkside Av,1.31,3,Mid-Low,Elevated,Very High,1581.0,1260.0,Brooklyn,31.556,0.819,35.519,0.754,0.89
3486.02,Clarkson Ave & Utica Ave,36047080800,40.65666,-73.93109,20.0,2284,6.489,6.0,4.006,2.483,0.655,352,6.5,13337.0,71.2,0.8627187079407806,2308.6,1146.4,0.0,Sutter Av-Rutland Rd,0.32,3,Low,High,Very High,743.0,641.0,Brooklyn,6.763,0.69,5.747,0.558,1.18
3492.04,34 St & 4 Ave,36047008400,40.655278,-74.003101,23.0,2967,15.866,15.0,12.524,3.342,0.818,187,15.9,116100.0,11.4,0.6541353383458647,4362.3,40.6,1.0,36 St,0.69,3,Mid-High,Moderate,Moderate,1064.0,696.0,Brooklyn,16.451,0.85,14.426,0.737,1.14
3495.08,Lenox Rd & E 43 St,36047087200,40.65496,-73.93765,21.0,1908,5.33,5.0,4.235,1.095,0.804,358,5.3,67650.0,26.8,0.3305785123966942,7397.9,1075.3,0.0,Winthrop St,0.25,3,Mid-Low,High,Low,1089.0,360.0,Brooklyn,5.759,0.805,4.175,0.8,1.38
3498.09,Prospect Park SW & 16 St,36047017100,40.657265,-73.974165,33.0,16079,44.052,42.0,35.441,8.611,0.827,365,44.1,174646.0,1.8,0.3515673017824216,7803.7,566.4,0.0,15 St-Prospect Park,1.33,2,High,Low,Low,1627.0,572.0,Brooklyn,41.54,0.846,50.356,0.779,0.82
3504.02,New York Ave & Hawthorne St,36047081000,40.65794,-73.94735,20.0,3248,12.211,12.0,9.786,2.425,0.813,266,12.2,88490.0,22.7,0.5180136319376826,6323.8,279.8,1.0,Winthrop St,0.61,2,Mid-High,Elevated,Low,1027.0,532.0,Brooklyn,13.205,0.828,9.724,0.775,1.36
3507.04,Prospect Park W & 20 St,36047150200,40.656633,-73.983864,25.0,7546,24.5,23.5,20.779,3.721,0.851,308,24.5,132727.0,3.9,0.2634011090573013,3388.7,555.1,0.0,15 St-Prospect Park,0.98,3,Mid-High,Low,Low,1082.0,285.0,Brooklyn,26.3,0.864,20.0,0.82,1.32
3512.03,Winthrop St & Rogers Ave,36047080200,40.65686,-73.95331,20.0,7489,20.631,21.0,16.824,3.807,0.835,363,20.6,98942.0,16.1,0.5731515469323545,10294.6,263.4,1.0,Winthrop St,1.03,1,Mid-High,Elevated,Moderate,1907.0,1093.0,Brooklyn,20.285,0.837,21.505,0.828,0.94
3520.01,Flatbush Ave & Fenimore St,36047079802,40.65798,-73.96051,24.0,8902,24.389,24.0,19.093,5.296,0.803,365,24.4,100438.0,12.2,0.7993235625704622,25017.4,310.2,2.0,Parkside Av,1.02,2,Mid-High,Moderate,Very High,2661.0,2127.0,Brooklyn,23.103,0.81,27.615,0.783,0.84
3523.06,29 St & 5 Ave,36047010100,40.656986,-73.998194,19.0,4375,12.052,12.0,10.058,1.994,0.842,363,12.1,136705.0,16.7,0.4686510449651678,5017.0,379.4,2.0,25 St,0.63,3,High,Elevated,Low,1579.0,740.0,Brooklyn,12.483,0.876,10.951,0.757,1.14
3526.04,Winthrop St & Schenectady Ave,36047087800,40.6582,-73.9338,21.0,1287,3.865,3.0,2.453,1.411,0.673,333,3.9,56633.0,18.4,0.7042410714285714,5917.6,1190.0,0.0,Sutter Av-Rutland Rd,0.18,1,Low,Elevated,High,896.0,631.0,Brooklyn,4.162,0.698,3.012,0.601,1.38
3535.03,Winthrop St & Albany Ave,36047080800,40.6577,-73.9398,21.0,2614,7.221,6.5,5.97,1.251,0.843,362,7.2,13337.0,71.2,0.8627187079407806,2308.6,885.0,0.0,Winthrop St,0.34,3,Low,High,Very High,743.0,641.0,Brooklyn,7.915,0.864,5.451,0.789,1.45
3538.09,11 Ave & Prospect Ave,36047017100,40.65629,-73.977335,20.0,16079,44.052,44.0,39.216,4.836,0.896,365,44.1,174646.0,1.8,0.3515673017824216,7803.7,488.3,1.0,15 St-Prospect Park,2.2,2,High,Low,Low,1627.0,572.0,Brooklyn,44.686,0.91,42.462,0.861,1.05
3544.02,Winthrop St & Nostrand Ave,36047080400,40.65707,-73.95005,24.0,6630,18.214,17.0,14.168,4.047,0.796,364,18.2,58413.0,18.7,0.6834532374100719,7325.2,48.2,1.0,Winthrop St,0.76,4,Mid-Low,Elevated,Moderate,1390.0,950.0,Brooklyn,18.892,0.805,16.519,0.772,1.14
3547.04,19 St & 8 Ave,36047150200,40.658489,-73.985543,23.0,3969,11.244,11.0,9.36,1.884,0.834,353,11.2,132727.0,3.9,0.2634011090573013,3388.7,551.3,0.0,15 St-Prospect Park,0.49,3,Mid-High,Low,Low,1082.0,285.0,Brooklyn,11.834,0.843,9.75,0.809,1.21
