station_id,station_name,latitude,longitude,capacity,GEOID,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
41495491-5d89-4e14-aab9-c3db04aad399,43 St & Skillman Ave,40.74692675687384,-73.9208248257637,19,36081017101,,0,0,,,0.0,40 St-Lowery St,441.2,2
1905837242740508940,31 St & Broadway,40.76211,-73.92523,35,36081006100,106413.0,2856,2278,6.0,0.7976190476190477,14642.0,Broadway,39.9,1
2177014969129222184,Henry Hudson Pkwy E & W 231 St,40.88336,-73.91505,0,36005029302,133102.0,2652,716,1.8,0.2699849170437405,6236.5,231 St,994.2,0
2177016530523622712,Post Rd & W 251 St,40.89561,-73.89793,0,36005035100,94948.0,1258,431,7.3,0.3426073131955485,2167.2,Van Cortlandt Park-242 St,709.5,0
2177016940364559212,David Sheridan Plaza & Broadway,40.90501,-73.89663,0,36005034500,100539.0,1680,613,10.1,0.3648809523809523,6117.4,Van Cortlandt Park-242 St,1760.3,0
62b97c1e-9d06-4c5e-b9c3-d76099e37fe4,Prospect Pl & Vanderbilt Ave,40.67767534,-73.96902144,27,36047016300,196630.0,1988,1271,8.0,0.6393360160965795,10798.9,7 Av,290.6,2
06439006-11b6-44f0-8545-c9d39035f32a,Vesey St & Church St,40.71221958009051,-74.01047229766846,78,36061001300,171923.0,2780,2567,11.9,0.9233812949640288,8763.7,World Trade Center,70.8,11
5645b05e-85be-460d-8506-cacd20bff233,36 St & 3 Ave,40.655716,-74.006664,30,36047001802,,0,0,,,0.0,36 St,270.4,1
2171904223419888148,E Gun Hill Rd & Tryon Ave,40.8802,-73.87697,21,36005042100,52824.0,2290,1677,30.5,0.7323144104803494,9302.1,Norwood-205 St,619.8,0
5526b855-dc09-4159-a20a-99651861a481,17 St & 5 Ave,40.663493,-73.991007,25,36047014300,119594.0,1423,669,9.5,0.4701335207308503,6551.4,Prospect Av,265.3,1
324e93c8-4f3d-4a5f-becd-00e6f49fe4dd,44 St & 2 Ave,40.652502,-74.013587,0,36047001803,,0,0,72.7,,0.0,45 St,498.2,1
16e70b05-5b73-4930-9dcf-f79e5ce9eaf5,44 St & 3 Ave,40.651173,-74.011405,23,36047000200,79375.0,383,212,34.5,0.5535248041775457,1383.0,45 St,275.0,1
2171903488884523500,Hull Ave & E 209 St,40.87689,-73.87444,14,36005042902,44663.0,1599,1268,23.7,0.792995622263915,16907.0,Norwood-205 St,437.3,1
66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,West Thames St,40.70834698,-74.01713445,73,36061031704,218917.0,4683,3615,3.3,0.7719410634208841,20809.4,Rector St,297.3,4
69717638-5c4a-47a7-bccb-3b42c81eb09f,56 Dr & 61 St,40.72368,-73.90458,19,36081053100,73938.0,1385,220,10.1,0.1588447653429603,3270.4,Middle Village-Metropolitan Av,1859.9,0
66dcbac5-0aca-11e7-82f6-3863bb44ef7c,Lewis Ave & Decatur St,40.6814598,-73.934903,19,36047027300,122093.0,1420,780,8.4,0.5492957746478874,9485.3,Utica Av,422.1,1
d73e26de-8534-4b46-a321-3cae295ef9b2,W 171 St & St Nicholas Ave,40.842941,-73.938631,31,36061025300,72763.0,4028,3547,18.0,0.8805858987090367,23785.9,168 St,259.2,2
ec42fb3a-af54-46aa-a8b3-b17d72ed4475,34 Ave & 13 St,40.7638753,-73.9364848,19,36081004300,26814.0,1008,677,31.0,0.6716269841269841,5901.2,Broadway,952.3,0
32cc1603-a4b5-4099-b7bf-681de451b04a,Walker St & Baxter St,40.717411,-73.999573,47,36061002901,11094.0,69,57,65.9,0.8260869565217391,475.7,Canal St,80.4,5
4568f854-1268-45cf-bac8-82286ef40ae6,Dean St & Rockaway Ave,40.67486,-73.91123,21,36047036501,67165.0,1378,822,17.5,0.5965166908563135,10906.6,Rockaway Av,391.6,1
