start_station_id,start_station_name,start_lat,start_lng
3087.01,Cortelyou Rd & E 34 St,40.644540000000006,-73.94485999999999
3090.06,Church Ave & McDonald Ave,40.64280899999998,-73.97923900000002
3093.07,57 St & 4 Ave,40.64262200000002,-74.01686600000001
3099.01,37 St & Fort Hamilton Pkwy,40.64417000000001,-73.98923
3113.06,Rugby Rd & Beverley Rd,40.64435000000001,-73.96591
3113.1,Stratford Rd & Beverley Rd,40.64378000000001,-73.96867
3113.10,Stratford Rd & Beverley Rd,40.64378000000001,-73.96867000000007
3117.05,46 St & 7 Ave,40.64474299999999,-74.00375400000001
3121.01,Cortelyou Rd & Albany Ave,40.644829999999956,-73.93852999999986
3125.09,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481
3129.08,53 St & 5 Ave,40.643371000000016,-74.01188400000001
3132.09,Beverley Rd & Nostrand Ave,40.64507,-73.94879999999999
3135.04,Chester Ave & 12 Ave,40.644367000000045,-73.98427599999995
3138.03,56 St & 2 Ave,40.64570499999999,-74.02029199999996
3138.09,58 St & 2 Ave,40.644512,-74.02150599999999
3140.09,Bedford Ave & Beverley Rd,40.64491,-73.95487000000003
3148.08,E 17 St & Beverley Rd,40.644659999999995,-73.96321999999999
3148.09,E 19 St & Beverley Rd,40.644829999999985,-73.96129999999998
3155.01,Schenectady Ave & Cortelyou Rd,40.645349999999965,-73.93267999999999
3157.08,Turner Pl & Coney Island Ave,40.64521,-73.97073000000005
3161.02,46 St & 6 Ave,40.64592100000002,-74.00570800000001
3164.04,Brooklyn Ave & Beverley Rd,40.64574999999994,-73.94330999999995
3166.03,Albemarle Rd & McDonald Ave,40.645074000000015,-73.97968100000003
3169.07,53 St & 4 Ave,40.64486199999996,-74.01453099999998
3172.01,Tilden Ave & Nostrand Ave,40.64683,-73.94933000000002
3178.02,57 St & 1 Ave,40.64637700000001,-74.02308700000003
3180.02,Beverley Rd & Flatbush Ave,40.64498999999998,-73.95817999999998
3180.09,Albemarle Rd & E 21 St,40.647410000000015,-73.95932999999994
3184.07,New Utrecht Ave & 9 Ave,40.646249287052434,-73.99452600971485
3187.01,Beverley Rd & E 49 St,40.64621,-73.93066999999999
3188.04,Rugby Rd & Albemarle Rd,40.64672,-73.96637000000004
3192.05,7 Ave & 41 St,40.64737899999999,-74.000911
3199.01,Caton Ave & E 7 St,40.647718000000005,-73.97366300000002
3202.06,48 St & 5 Ave,40.64635100000001,-74.00927100000003
3205.06,Brooklyn Ave & Tilden Ave,40.64725000000007,-73.94352000000012
3208.07,Dahill Rd & 12 Ave,40.64603700000001,-73.980963
3211.06,53 St & 2 Ave,40.64744000000001,-74.018846
3214.04,Tilden Ave & Lott St,40.64661000000002,-73.95401
3220.01,58 St & Pier 4,40.64647500000001,-74.02608100000006
3223.07,Ocean Ave & Tennis Ct,40.64872999999999,-73.96083999999999
3229.07,E 48 St & Tilden Ave,40.647949999999966,-73.93182000000006
3230.01,Caton Ave & E 10 St,40.64848100000001,-73.97058
3233.02,5 Ave & 44 St,40.648649999999996,-74.00646000000005
3240.15,Fort Hamilton Pkwy & E 5 St,40.649036999999964,-73.97672999999998
3243.02,47 St & 3 Ave,40.64914299999999,-74.01238400000004
3246.06,New York Ave & Snyder Ave,40.648679999999985,-73.94634999999997
3253.01,52 St & 1 Ave,40.64929199999998,-74.020105
3256.04,Bedford Ave & Albemarle Rd,40.64795999999997,-73.95559999999999
3263.01,E 18 St & Church Ave,40.64958,-73.96315999999999
3266.01,7 Ave & 40 St,40.64816899999996,-74.00005700000001
3272.01,E 8 St & Caton Ave,40.64805499999999,-73.97243199999993
3275.03,45 St & 4 Ave,40.64914499999999,-74.009486
3278.07,Brooklyn Ave & Snyder Ave,40.64914999999998,-73.94368000000001
3280.04,Fort Hamilton Pkwy & E 2 St,40.648005,-73.979342
3283.05,48 St & 2 Ave,40.65017599999999,-74.01560600000009
3286.07,Rogers Ave & Snyder Ave,40.64871069109079,-73.95216381346133
3294.03,E 21 St & Church Ave,40.65007,-73.96001000000007
3300.04,E 49 St & Church Ave,40.65182,-73.93135
3300.06,Snyder Ave & Schenectady Ave,40.65,-73.93295999999994
3303.03,Caton Ave & Argyle Rd,40.64968100000001,-73.96782900000004
3306.03,5 Ave & 41 St,40.64998299999996,-74.00514400000006
3309.04,Church Ave & E 42 St,40.65127000000002,-73.93818000000002
3312.07,Prospect Ave & Greenwood Ave,40.651745000000005,-73.97598799999999
