GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36005014701,,35277,2009,1781,60.4,0.8865107018417123
1400000US36005014702,,23825,1924,1510,36.3,0.7848232848232848
1400000US36005014900,,35982,1546,1105,44.0,0.7147477360931436
1400000US36005015100,,31298,2117,1481,31.7,0.6995748700991969
1400000US36005015200,,81875,986,110,11.6,0.11156186612576065
1400000US36005015300,,33028,1781,1332,24.9,0.7478944413250983
1400000US36005015500,,43913,1064,789,27.8,0.7415413533834586
1400000US36005015700,,46504,2321,1755,29.8,0.7561395950021542
1400000US36005015800,,87656,534,230,19.1,0.4307116104868914
1400000US36005015900,,25686,1023,577,37.0,0.5640273704789834
1400000US36005016000,,90221,1521,229,15.0,0.15055884286653518
1400000US36005016100,,23210,2224,1908,37.5,0.8579136690647482
1400000US36005016200,,121645,509,70,5.7,0.137524557956778
1400000US36005016300,,,0,0,,
1400000US36005016400,,69057,392,75,21.5,0.1913265306122449
1400000US36005016500,,52446,376,149,21.7,0.3962765957446808
1400000US36005016600,,109519,802,48,13.4,0.059850374064837904
1400000US36005016700,,45363,1154,748,37.0,0.6481802426343154
1400000US36005016900,,42168,607,394,52.0,0.6490939044481054
1400000US36005017100,,,0,0,,
1400000US36005017300,,33269,2276,1611,30.2,0.7078207381370826
1400000US36005017500,,18474,2975,2295,39.1,0.7714285714285715
1400000US36005017701,,62126,1462,960,25.1,0.6566347469220246
1400000US36005017702,,40125,1675,993,34.7,0.5928358208955223
1400000US36005017901,,47778,1688,1187,20.2,0.7031990521327014
1400000US36005017902,,42870,1216,1138,15.9,0.9358552631578947
1400000US36005018101,,55664,1084,653,23.1,0.6023985239852399
1400000US36005018102,,31618,2150,1812,31.2,0.8427906976744186
1400000US36005018301,,46389,1934,1386,28.4,0.7166494312306101
1400000US36005018302,,68627,1452,1172,23.9,0.8071625344352618
1400000US36005018400,,92273,1340,441,13.0,0.3291044776119403
1400000US36005018501,,49444,1466,977,30.9,0.6664392905866303
1400000US36005018502,,28963,2106,1395,50.8,0.6623931623931624
1400000US36005018900,,54056,3050,2346,25.9,0.7691803278688525
1400000US36005019300,,46794,2519,1957,15.0,0.77689559348948
1400000US36005019400,,100950,696,204,7.8,0.29310344827586204
1400000US36005019500,,45661,2703,2245,39.7,0.8305586385497595
1400000US36005019700,,25439,2528,2088,56.8,0.8259493670886076
1400000US36005019900,,34311,3185,2160,35.7,0.6781789638932496
1400000US36005020000,,46622,1430,691,26.3,0.48321678321678324
1400000US36005020100,,32692,1406,1054,44.6,0.7496443812233285
1400000US36005020200,,53491,975,548,25.8,0.5620512820512821
1400000US36005020400,,55947,988,542,26.5,0.548582995951417
1400000US36005020501,,27349,2681,2105,43.8,0.7851547929876912
1400000US36005020502,,39688,1040,850,23.9,0.8173076923076923
1400000US36005020601,,86701,937,384,19.5,0.40981856990394877
1400000US36005020900,,38333,1944,1590,26.7,0.8179012345679012
1400000US36005021001,,52629,3563,2643,19.0,0.7417906258770699
1400000US36005021002,,73188,3158,1952,23.5,0.6181127295756809
1400000US36005021100,,52128,2002,1448,30.2,0.7232767232767233
1400000US36005021200,,68926,2325,1628,21.2,0.7002150537634408
1400000US36005021301,,37171,447,237,32.0,0.5302013422818792
1400000US36005021302,,37049,2324,1759,41.4,0.7568846815834768
1400000US36005021501,,37171,1348,924,39.7,0.685459940652819
1400000US36005021502,,20415,2322,1716,46.7,0.7390180878552972
1400000US36005021601,,33990,1582,1067,30.1,0.6744627054361567
1400000US36005021602,,58569,2345,1789,17.8,0.7628997867803838
1400000US36005021700,,36195,1939,1628,38.3,0.8396080453842186
1400000US36005021800,,60108,2329,1593,25.3,0.6839845427221983
1400000US36005021900,,48444,489,384,14.0,0.7852760736196319
1400000US36005022000,,23910,650,501,61.4,0.7707692307692308
1400000US36005022101,,52176,1339,993,23.9,0.7415982076176251
1400000US36005022102,,33614,1681,1408,35.3,0.8375966686496134
1400000US36005022200,,48110,1089,726,26.8,0.6666666666666666
1400000US36005022300,,45257,2103,1831,33.1,0.8706609605325725
1400000US36005022401,,53398,965,617,23.1,0.6393782383419689
1400000US36005022403,,72143,1154,725,14.0,0.6282495667244368
1400000US36005022404,,61760,1875,1142,16.2,0.6090666666666666
1400000US36005022500,,50243,2225,1672,25.7,0.7514606741573033
1400000US36005022701,,37828,2025,1618,28.7,0.7990123456790124
