GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36047011400,,74063,864,465,17.9,0.5381944444444444
1400000US36047011600,,65551,1058,508,27.8,0.48015122873345933
1400000US36047011700,,153348,1251,663,3.6,0.5299760191846523
1400000US36047011800,,62273,644,468,27.5,0.7267080745341615
1400000US36047011901,,165179,576,281,11.8,0.4878472222222222
1400000US36047011902,,,0,0,,
1400000US36047012000,,72987,341,124,28.0,0.36363636363636365
1400000US36047012100,,130357,950,481,8.9,0.5063157894736842
1400000US36047012200,,54071,1466,880,28.6,0.6002728512960437
1400000US36047012600,,81477,892,415,18.8,0.46524663677130046
1400000US36047012700,,63750,1788,1247,12.0,0.6974272930648769
1400000US36047012801,,74306,754,330,22.6,0.4376657824933687
1400000US36047012901,,250001,1030,564,9.4,0.5475728155339806
1400000US36047012902,,183510,1902,1401,6.3,0.7365930599369085
1400000US36047013000,,78942,1799,1077,14.7,0.5986659255141745
1400000US36047013100,,107083,1787,1321,10.8,0.7392277560156687
1400000US36047013200,,81429,722,273,15.8,0.3781163434903047
1400000US36047013300,,201298,1807,917,1.5,0.5074709463198672
1400000US36047013400,,99886,1398,711,11.4,0.5085836909871244
1400000US36047013500,,221920,1591,581,1.8,0.3651791326209931
1400000US36047013600,,88182,1560,809,12.7,0.5185897435897436
1400000US36047013700,,170600,1498,1004,5.0,0.6702269692923899
1400000US36047013800,,112703,1253,607,3.1,0.48443735035913804
1400000US36047013900,,173378,1430,764,6.0,0.5342657342657343
1400000US36047014000,,61111,692,168,23.2,0.24277456647398843
1400000US36047014101,,215104,535,257,13.3,0.4803738317757009
1400000US36047014102,,113750,906,378,8.2,0.41721854304635764
1400000US36047014200,,81250,1264,788,25.0,0.6234177215189873
1400000US36047014300,,119594,1423,669,9.5,0.4701335207308503
1400000US36047014500,,117800,1878,930,12.1,0.4952076677316294
1400000US36047014700,,162847,857,353,7.2,0.411901983663944
1400000US36047014800,,88787,407,63,7.8,0.1547911547911548
1400000US36047014901,,166161,635,294,8.4,0.462992125984252
1400000US36047014902,,171346,1872,967,6.0,0.5165598290598291
1400000US36047015000,,63594,543,224,14.1,0.4125230202578269
1400000US36047015100,,188866,1763,817,4.5,0.4634146341463415
1400000US36047015200,,92454,883,229,14.2,0.25934314835787087
1400000US36047015300,,154286,1196,764,4.3,0.6387959866220736
1400000US36047015400,,,0,0,,
1400000US36047015500,,206176,1436,577,4.0,0.40181058495821725
1400000US36047015700,,209940,2109,1142,2.4,0.541488857278331
1400000US36047015900,,201858,2613,1687,4.9,0.6456180635285113
1400000US36047016000,,83920,1853,1026,16.7,0.5536967080410146
1400000US36047016100,,172234,1592,1062,2.0,0.6670854271356784
1400000US36047016200,,100278,1106,475,14.9,0.4294755877034358
1400000US36047016300,,196630,1988,1271,8.0,0.6393360160965795
1400000US36047016400,,106875,173,0,0.0,0.0
1400000US36047016500,,250001,2387,1148,2.1,0.4809384164222874
1400000US36047016600,,114635,709,53,7.6,0.07475317348377997
1400000US36047016700,,190125,2191,1182,5.7,0.539479689639434
1400000US36047016800,,118341,761,159,6.3,0.20893561103810776
1400000US36047016900,,140727,2005,821,14.8,0.4094763092269327
1400000US36047017000,,102417,1152,269,12.0,0.23350694444444445
1400000US36047017100,,174646,1627,572,1.8,0.3515673017824216
1400000US36047017200,,136096,946,236,4.3,0.24947145877378435
1400000US36047017400,,103594,721,184,13.5,0.2552011095700416
1400000US36047017500,,,0,0,,
1400000US36047017600,,90833,838,320,8.7,0.3818615751789976
1400000US36047017700,,,0,0,,
1400000US36047017800,,91923,844,320,4.5,0.3791469194312796
1400000US36047017900,,103836,1414,889,30.2,0.6287128712871287
1400000US36047018000,,59936,971,524,16.5,0.5396498455200824
1400000US36047018100,,175294,2158,1592,7.9,0.7377201112140871
1400000US36047018200,,78750,1159,435,11.5,0.37532355478861085
1400000US36047018300,,194519,1365,665,2.4,0.48717948717948717
1400000US36047018400,,81467,723,194,5.8,0.26832641770401106
1400000US36047018501,,44877,1719,1437,23.0,0.8359511343804538
1400000US36047018600,,76667,618,204,5.3,0.3300970873786408
1400000US36047018700,,139231,550,287,9.3,0.5218181818181818
1400000US36047018800,,38227,1081,477,17.6,0.4412580943570768
1400000US36047019000,,48824,1600,1141,21.8,0.713125
1400000US36047019100,,148929,1282,806,12.6,0.6287051482059283
1400000US36047019200,,72303,737,365,26.8,0.49525101763907736
1400000US36047019300,,79505,2626,1634,18.2,0.6222391469916222
1400000US36047019400,,66080,1159,347,26.2,0.2993960310612597
1400000US36047019500,,139329,1871,1189,11.8,0.635489043292357
1400000US36047019600,,74292,1397,624,32.7,0.44667143879742305
1400000US36047019700,,121235,1797,838,6.0,0.46633277685030605
1400000US36047019800,,78673,650,189,13.7,0.2907692307692308
1400000US36047019900,,130688,2401,1696,6.7,0.7063723448563098
1400000US36047020000,,98214,666,269,19.9,0.4039039039039039
1400000US36047020100,,150978,1914,1202,3.7,0.6280041797283177
1400000US36047020200,,79643,630,102,9.8,0.1619047619047619
1400000US36047020300,,160795,963,599,13.1,0.6220145379023884
1400000US36047020400,,143162,704,235,5.7,0.3338068181818182
1400000US36047020500,,164926,1586,791,3.4,0.4987389659520807
1400000US36047020600,,87446,799,150,24.0,0.18773466833541927
1400000US36047020700,,190843,2343,1385,8.3,0.5911224925309433
1400000US36047020800,,65491,1079,642,13.2,0.5949953660797034
1400000US36047021000,,69970,1121,387,26.3,0.3452274754683318
1400000US36047021100,,85225,1137,780,15.3,0.6860158311345647
1400000US36047021200,,56250,1214,661,21.0,0.5444810543657331
1400000US36047021300,,82426,2041,1350,24.1,0.6614404703576678
1400000US36047021400,,78214,528,255,32.6,0.48295454545454547
1400000US36047021500,,151154,2771,1840,7.6,0.6640202093107181
1400000US36047021600,,47950,976,636,48.5,0.6516393442622951
1400000US36047021700,,112957,1937,1526,13.4,0.7878162106350026
1400000US36047021800,,69291,813,336,16.5,0.4132841328413284
1400000US36047021900,,122589,1943,1367,10.0,0.7035512094698919
1400000US36047022000,,59395,1295,770,34.0,0.5945945945945946
1400000US36047022100,,87021,1680,1207,21.1,0.718452380952381
1400000US36047022200,,52361,1099,493,50.9,0.44858962693357596
1400000US36047022400,,56105,1201,596,34.2,0.4962531223980017
1400000US36047022600,,86655,543,298,11.1,0.5488029465930019
1400000US36047022700,,119148,2167,1631,13.9,0.7526534379326257
1400000US36047022800,,55898,763,382,38.5,0.5006553079947575
1400000US36047022900,,139609,1679,1241,11.0,0.7391304347826086
1400000US36047023000,,32725,1024,743,52.3,0.7255859375
1400000US36047023100,,160199,1773,837,9.4,0.4720812182741117
1400000US36047023200,,63094,1418,663,37.4,0.4675599435825106
1400000US36047023300,,78177,2211,1182,34.0,0.5345997286295794
1400000US36047023400,,37587,1431,784,35.9,0.5478686233403215
1400000US36047023500,,111917,1557,1020,31.1,0.6551059730250481
1400000US36047023600,,39479,1491,982,33.6,0.6586183769282361
1400000US36047023800,,43843,1194,761,28.3,0.6373534338358459
1400000US36047024000,,37833,1420,805,48.3,0.5669014084507042
1400000US36047024100,,141717,1158,735,22.8,0.6347150259067358
1400000US36047024200,,59276,737,258,27.7,0.35006784260515605
1400000US36047024300,,122203,1934,1155,13.6,0.5972078593588418
1400000US36047024400,,76417,996,375,37.0,0.37650602409638556
1400000US36047024500,,103194,1977,1248,10.5,0.6312594840667678
1400000US36047024600,,71711,836,338,23.1,0.4043062200956938
1400000US36047024700,,57106,1382,882,23.4,0.638205499276411
1400000US36047024800,,79340,779,333,26.5,0.4274711168164313
1400000US36047024900,,84746,1966,1496,14.0,0.7609359104781281
1400000US36047025000,,51250,466,211,23.7,0.45278969957081544
1400000US36047025100,,58856,1763,1372,37.4,0.7782189449801474
1400000US36047025200,,54012,1654,689,16.3,0.4165659008464329
1400000US36047025300,,115700,1482,887,30.5,0.5985155195681512
1400000US36047025400,,89021,1175,475,25.3,0.40425531914893614
1400000US36047025500,,26906,2092,1346,32.2,0.6434034416826003
1400000US36047025600,,71250,1095,300,10.1,0.273972602739726
1400000US36047025700,,88750,946,578,39.1,0.6109936575052854
1400000US36047025800,,67167,1312,776,31.4,0.5914634146341463
1400000US36047025901,,90000,832,590,21.4,0.7091346153846154
1400000US36047025902,,,1448,1149,48.6,0.7935082872928176
1400000US36047026000,,68043,1000,494,13.0,0.494
1400000US36047026100,,103274,2457,1552,28.9,0.6316646316646317
1400000US36047026200,,99750,784,264,15.8,0.336734693877551
1400000US36047026300,,85546,939,553,17.8,0.5889243876464324
1400000US36047026400,,69808,1534,779,20.1,0.5078226857887875
1400000US36047026500,,82088,1977,1312,21.2,0.663631765300961
1400000US36047026600,,47544,1148,616,19.3,0.5365853658536586
1400000US36047026700,,150386,1765,958,6.2,0.5427762039660057
1400000US36047026800,,90442,1520,625,14.3,0.41118421052631576
1400000US36047026900,,96006,1302,798,18.3,0.6129032258064516
1400000US36047027000,,62083,876,313,25.1,0.3573059360730594
1400000US36047027100,,84412,1610,971,14.6,0.6031055900621118
1400000US36047027200,,59802,1430,689,26.1,0.4818181818181818
1400000US36047027300,,122093,1420,780,8.4,0.5492957746478874
1400000US36047027400,,49800,988,345,10.5,0.3491902834008097
1400000US36047027500,,84756,1791,1077,23.8,0.6013400335008375
1400000US36047027600,,63447,1294,550,16.5,0.4250386398763524
1400000US36047027700,,61042,1660,1195,28.8,0.7198795180722891
1400000US36047027800,,68792,1130,490,12.4,0.4336283185840708
1400000US36047027900,,91771,1692,778,18.0,0.4598108747044917
1400000US36047028000,,95208,595,229,10.9,0.38487394957983195
1400000US36047028100,,45850,1879,1217,37.5,0.6476849387972325
1400000US36047028200,,52926,1190,386,23.4,0.3243697478991597
1400000US36047028300,,53040,1584,1087,29.9,0.6862373737373737
1400000US36047028400,,59954,1445,827,21.1,0.572318339100346
1400000US36047028501,,57969,321,298,32.4,0.9283489096573209
1400000US36047028502,,14944,1187,1060,53.2,0.8930075821398483
1400000US36047028600,,47923,1748,929,43.7,0.5314645308924485
1400000US36047028700,,106462,1304,1035,36.0,0.7937116564417178
1400000US36047028800,,77042,1123,652,22.0,0.5805877114870882
1400000US36047028900,,50152,1601,1051,33.9,0.6564647095565271
1400000US36047029000,,62731,1531,956,28.0,0.6244284781188766
1400000US36047029100,,88153,1451,802,19.2,0.5527222605099931
1400000US36047029200,,55653,1014,522,17.3,0.514792899408284
1400000US36047029300,,36833,1326,937,35.4,0.7066365007541479
1400000US36047029400,,91544,603,291,17.8,0.48258706467661694
1400000US36047029500,,94227,1886,608,23.7,0.32237539766702017
1400000US36047029600,,66349,1989,1059,28.8,0.5324283559577677
1400000US36047029700,,70536,1705,819,23.2,0.48035190615835777
1400000US36047029800,,61059,1110,527,19.9,0.47477477477477475
1400000US36047029900,,65433,1247,817,29.6,0.6551724137931034
1400000US36047030000,,73981,1354,705,18.4,0.5206794682422452
1400000US36047030100,,98438,1106,473,21.4,0.42766726943942135
1400000US36047030200,,76005,1323,466,18.0,0.35222978080120937
1400000US36047030300,,43275,2198,1628,27.8,0.740673339399454
1400000US36047030400,,68581,1505,523,13.7,0.3475083056478405
1400000US36047030500,,122353,3332,2128,13.1,0.6386554621848739
1400000US36047030600,,65985,672,197,13.7,0.2931547619047619
1400000US36047030700,,50049,2861,2026,27.9,0.7081440055924502
1400000US36047030800,,50865,710,269,12.1,0.3788732394366197
1400000US36047030900,,66889,933,752,37.2,0.8060021436227224
1400000US36047031100,,106845,1325,771,22.0,0.5818867924528301
1400000US36047031300,,105407,2277,1732,17.5,0.7606499780412824
1400000US36047031401,,101193,1842,620,10.2,0.33659066232356133
1400000US36047031402,,,0,0,,
1400000US36047031500,,100899,2481,1903,14.5,0.7670294236195082
1400000US36047031701,,101806,1701,1245,11.1,0.7319223985890653
1400000US36047031702,,115512,1553,1005,10.1,0.6471345782356729
1400000US36047031900,,90357,1308,925,7.2,0.7071865443425076
1400000US36047032100,,86685,2188,1515,15.5,0.6924131627056673
1400000US36047032300,,83815,1695,990,16.8,0.584070796460177
1400000US36047032500,,94328,2715,1748,9.3,0.6438305709023942
1400000US36047032600,,49911,3091,1812,34.2,0.5862180524102232
1400000US36047032700,,82554,1420,926,13.1,0.652112676056338
1400000US36047032800,,53526,1122,759,27.3,0.6764705882352942
1400000US36047032900,,92193,2121,1159,23.1,0.5464403583215465
1400000US36047033000,,23583,1944,1405,41.0,0.7227366255144033
1400000US36047033100,,44347,1743,1025,29.7,0.5880665519219737
1400000US36047033300,,103333,1366,683,20.5,0.5
1400000US36047033500,,102188,954,342,17.4,0.3584905660377358
1400000US36047033600,,76719,1592,397,10.7,0.24937185929648242
1400000US36047033701,,93620,945,694,11.5,0.7343915343915344
1400000US36047033702,,87165,575,372,15.2,0.6469565217391304
1400000US36047033900,,61979,2041,1349,25.3,0.6609505144536991
1400000US36047034000,,32983,679,505,38.0,0.7437407952871871
1400000US36047034100,,95300,1174,663,19.6,0.5647359454855196
1400000US36047034200,,22872,2927,2158,34.0,0.7372736590365562
1400000US36047034300,,28750,1892,1600,43.3,0.8456659619450317
1400000US36047034500,,81850,1097,803,8.5,0.731996353691887
1400000US36047034700,,42457,1860,1292,21.7,0.6946236559139785
1400000US36047034800,,53710,938,651,20.5,0.6940298507462687
1400000US36047034901,,82521,817,644,18.5,0.7882496940024479
1400000US36047034902,,34381,1669,1405,15.6,0.8418214499700419
1400000US36047035000,,56891,1611,941,13.3,0.5841092489137182
1400000US36047035101,,53626,762,663,26.2,0.8700787401574803
1400000US36047035102,,70030,1047,727,31.4,0.6943648519579751
1400000US36047035200,,13240,821,616,60.1,0.7503045066991474
1400000US36047035301,,46789,1116,856,41.4,0.7670250896057348
1400000US36047035302,,85234,1014,512,15.0,0.504930966469428
1400000US36047035400,,63382,2856,1242,9.7,0.43487394957983194
1400000US36047035500,,75139,2068,1240,11.5,0.5996131528046421
1400000US36047035601,,28750,1397,862,19.0,0.6170365068002863
1400000US36047035602,,50456,3207,1424,15.6,0.44402868724664796
1400000US36047035701,,45313,1105,877,37.5,0.7936651583710407
1400000US36047035702,,,0,0,,
1400000US36047035900,,62774,2462,1515,21.6,0.6153533712428919
1400000US36047036001,,30877,1786,1400,35.3,0.7838745800671892
1400000US36047036002,,30176,2203,1766,24.6,0.8016341352700862
1400000US36047036100,,37035,1268,961,36.9,0.7578864353312302
1400000US36047036200,,52023,1353,725,37.9,0.5358462675535847
1400000US36047036300,,58091,2105,1223,19.4,0.5809976247030879
1400000US36047036400,,63480,955,565,15.6,0.5916230366492147
1400000US36047036501,,67165,1378,822,17.5,0.5965166908563135
1400000US36047036502,,67038,745,546,27.2,0.7328859060402685
1400000US36047036600,,52385,1388,746,22.9,0.537463976945245
1400000US36047036700,,70426,705,353,28.4,0.500709219858156
1400000US36047036900,,48583,2455,1753,25.7,0.7140529531568228
1400000US36047037000,,69493,1479,491,13.5,0.33198106828938473
1400000US36047037100,,87679,1728,871,19.1,0.5040509259259259
1400000US36047037300,,71786,2012,1456,20.5,0.7236580516898609
1400000US36047037401,,59004,1819,865,15.9,0.4755360087960418
1400000US36047037402,,57118,2276,871,18.8,0.38268892794376097
1400000US36047037500,,91985,1560,1108,20.6,0.7102564102564103
1400000US36047037700,,71786,1912,906,19.8,0.47384937238493724
1400000US36047037900,,67949,1584,1010,35.2,0.6376262626262627
1400000US36047038100,,70867,2458,1582,19.0,0.6436126932465419
1400000US36047038200,,22332,1985,1420,47.8,0.7153652392947103
1400000US36047038300,,87786,2158,794,21.9,0.36793327154772937
1400000US36047038500,,114375,1571,851,12.9,0.5416931890515595
1400000US36047038600,,91857,1086,417,12.8,0.3839779005524862
1400000US36047038700,,93221,2093,1128,25.9,0.5389393215480172
1400000US36047038800,,83558,1530,403,18.9,0.2633986928104575
1400000US36047038900,,98819,1472,836,12.8,0.5679347826086957
1400000US36047039000,,72143,770,147,28.3,0.19090909090909092
1400000US36047039100,,103796,2539,1751,24.5,0.689641591177629
1400000US36047039200,,54483,1082,401,16.5,0.3706099815157117
1400000US36047039300,,112566,1643,1255,16.3,0.7638466220328667
1400000US36047039400,,62875,702,250,30.2,0.3561253561253561
1400000US36047039500,,84219,1959,1596,27.1,0.8147013782542113
1400000US36047039600,,69563,675,245,16.8,0.362962962962963
1400000US36047039700,,74291,1598,1055,21.9,0.6602002503128911
1400000US36047039800,,89750,809,250,11.0,0.30902348578491967
1400000US36047039900,,50329,1635,1119,28.3,0.6844036697247706
1400000US36047040000,,58941,877,257,20.0,0.29304446978335236
1400000US36047040100,,69616,1399,991,27.6,0.7083631165117942
1400000US36047040200,,76250,772,380,30.1,0.49222797927461137
1400000US36047040300,,103792,1489,676,13.0,0.4539959704499664
1400000US36047040400,,106442,847,187,10.1,0.22077922077922077
1400000US36047040500,,69437,680,311,11.9,0.4573529411764706
1400000US36047040600,,79941,1052,524,12.2,0.49809885931558934
1400000US36047040700,,,0,0,,
1400000US36047040800,,78750,1068,358,25.9,0.3352059925093633
1400000US36047040900,,78220,1308,805,20.1,0.6154434250764526
1400000US36047041000,,60694,690,258,15.5,0.3739130434782609
1400000US36047041100,,63125,1030,591,26.4,0.5737864077669903
1400000US36047041200,,95152,909,455,14.5,0.5005500550055005
1400000US36047041300,,110996,1449,871,19.8,0.601104209799862
1400000US36047041401,,71944,468,163,30.0,0.3482905982905983
1400000US36047041402,,39048,730,328,25.5,0.44931506849315067
1400000US36047041500,,96110,1649,946,14.7,0.5736810187992722
1400000US36047041600,,63425,705,250,19.5,0.3546099290780142
1400000US36047041700,,32028,1432,1015,34.4,0.7087988826815642
1400000US36047041800,,46607,871,395,19.7,0.4535017221584386
1400000US36047041900,,73958,1241,843,32.5,0.6792908944399678
1400000US36047042000,,88700,490,174,13.1,0.3551020408163265
1400000US36047042100,,94209,1795,1087,26.7,0.6055710306406685
1400000US36047042200,,73033,1022,312,29.3,0.30528375733855184
1400000US36047042300,,123750,1528,787,9.2,0.5150523560209425
1400000US36047042400,,70060,1322,599,21.1,0.45310136157337366
1400000US36047042500,,86316,1148,831,14.5,0.7238675958188153
1400000US36047042600,,71840,1537,646,22.4,0.4202992843201041
1400000US36047042700,,92250,1871,1304,11.7,0.6969535008017104
1400000US36047042800,,88656,1263,429,5.1,0.33966745843230406
1400000US36047042900,,65000,2038,1527,27.1,0.7492639842983317
1400000US36047043000,,75417,1381,723,13.9,0.5235336712527154
1400000US36047043100,,90745,1783,1371,10.1,0.7689287717330342
1400000US36047043200,,79667,1432,735,14.9,0.513268156424581
1400000US36047043300,,59551,1442,1103,29.9,0.7649098474341193
1400000US36047043400,,66763,1266,579,31.0,0.45734597156398105
1400000US36047043500,,67778,1774,1358,29.4,0.7655016910935738
1400000US36047043600,,83284,1794,733,20.5,0.40858416945373466
1400000US36047043700,,77904,1997,942,19.3,0.471707561342013
1400000US36047043800,,70066,909,328,17.4,0.36083608360836084
1400000US36047043900,,114318,1116,712,16.3,0.6379928315412187
1400000US36047044000,,88344,733,317,16.5,0.4324693042291951
1400000US36047044100,,78526,1918,1143,25.9,0.5959332638164755
1400000US36047044200,,62708,860,278,19.7,0.32325581395348835
1400000US36047044300,,94517,1952,1215,10.4,0.6224385245901639
1400000US36047044400,,67554,941,419,32.0,0.4452709883103082
1400000US36047044500,,86717,1648,1000,14.6,0.6067961165048543
1400000US36047044600,,69099,637,203,5.5,0.31868131868131866
1400000US36047044700,,89511,958,731,34.5,0.7630480167014614
1400000US36047044800,,96639,759,197,5.6,0.2595520421607378
1400000US36047044901,,78774,1045,780,26.3,0.7464114832535885
1400000US36047044902,,,0,0,,
1400000US36047045000,,90893,296,52,50.0,0.17567567567567569
1400000US36047045200,,74250,892,285,8.8,0.3195067264573991
1400000US36047045300,,70598,683,493,38.6,0.7218155197657394
1400000US36047045400,,94607,531,220,11.7,0.4143126177024482
1400000US36047045600,,70329,817,478,22.0,0.5850673194614443
1400000US36047045800,,58958,459,96,7.4,0.20915032679738563
1400000US36047046000,,97188,1231,535,20.1,0.4346060113728676
1400000US36047046201,,63375,1047,557,18.1,0.5319961795606495
1400000US36047046202,,85536,462,171,12.6,0.37012987012987014
1400000US36047046400,,72422,628,256,32.3,0.40764331210191085
1400000US36047046800,,41343,500,299,11.2,0.598
1400000US36047047000,,75069,655,164,21.4,0.250381679389313
1400000US36047047200,,71635,705,398,27.7,0.5645390070921986
1400000US36047047400,,99769,729,235,24.9,0.3223593964334705
1400000US36047047600,,61250,926,379,22.9,0.40928725701943847
1400000US36047047700,,179175,1887,1115,9.1,0.5908850026497086
1400000US36047047800,,60590,1205,697,26.6,0.5784232365145229
1400000US36047048000,,52940,971,443,42.3,0.45623069001029865
1400000US36047048100,,94896,1443,961,14.8,0.665973665973666
1400000US36047048200,,58234,2169,829,19.6,0.3822037805440295
1400000US36047048400,,96964,1514,679,7.5,0.4484808454425363
1400000US36047048500,,130278,1046,645,25.2,0.6166347992351816
1400000US36047048600,,65714,756,387,14.5,0.5119047619047619
1400000US36047048800,,76110,1641,767,23.5,0.4673979280926264
1400000US36047048900,,26070,1535,1209,42.4,0.7876221498371335
1400000US36047049000,,77917,2110,1334,9.7,0.6322274881516587
1400000US36047049100,,46137,2621,2076,33.9,0.7920640976726441
1400000US36047049200,,103269,1258,541,17.0,0.4300476947535771
1400000US36047049301,,19440,947,856,46.5,0.9039070749736009
1400000US36047049302,,82423,2459,2016,32.3,0.8198454656364376
1400000US36047049400,,97625,2253,1131,18.8,0.5019973368841545
1400000US36047049500,,141250,1506,1124,9.3,0.7463479415670651
1400000US36047049600,,66920,1298,745,27.1,0.573959938366718
1400000US36047049700,,144872,1750,867,7.1,0.49542857142857144
1400000US36047049800,,77692,1570,932,8.8,0.5936305732484076
1400000US36047049900,,146106,1077,557,4.3,0.5171773444753947
1400000US36047050001,,124177,945,400,12.0,0.42328042328042326
1400000US36047050002,,124107,659,350,3.4,0.5311077389984825
1400000US36047050100,,126696,1511,849,15.0,0.5618795499669094
1400000US36047050202,,132670,1093,536,6.3,0.49039341262580055
1400000US36047050300,,173548,1325,1023,6.4,0.7720754716981132
1400000US36047050401,,156033,1182,610,4.6,0.5160744500846024
1400000US36047050402,,166100,892,567,4.7,0.6356502242152466
1400000US36047050500,,57500,2052,1559,34.4,0.7597465886939572
1400000US36047050600,,69276,2003,1356,17.8,0.6769845232151772
1400000US36047050700,,59158,845,427,36.5,0.5053254437869823
1400000US36047050801,,74333,1424,1129,30.8,0.7928370786516854
1400000US36047050803,,68496,1087,854,15.9,0.7856485740570377
1400000US36047050804,,110317,2715,1809,6.0,0.6662983425414365
1400000US36047050900,,42361,1048,404,48.4,0.38549618320610685
1400000US36047051001,,59583,1580,1240,20.7,0.7848101265822784
1400000US36047051002,,71007,1679,1354,17.3,0.806432400238237
1400000US36047051100,,88457,1916,1438,19.6,0.7505219206680585
1400000US36047051200,,96719,2178,1358,11.6,0.6235078053259872
1400000US36047051300,,136207,2757,1685,16.0,0.6111715632934349
1400000US36047051400,,100000,2530,1520,14.5,0.6007905138339921
1400000US36047051500,,246707,1272,749,4.1,0.5888364779874213
1400000US36047051601,,72304,1913,1110,17.5,0.5802404600104548
1400000US36047051602,,77801,1423,926,10.8,0.6507378777231202
1400000US36047051700,,234444,1366,679,6.0,0.4970717423133236
1400000US36047051800,,112589,1558,973,9.2,0.6245186136071887
1400000US36047051900,,221375,3345,2435,5.3,0.7279521674140508
1400000US36047052000,,126102,1335,751,15.3,0.5625468164794007
1400000US36047052300,,74454,2403,1911,26.4,0.7952559300873908
1400000US36047052500,,70625,1418,974,20.1,0.68688293370945
1400000US36047052600,,91500,1820,1093,6.5,0.6005494505494505
1400000US36047052700,,59632,2492,1886,24.6,0.7568218298555377
1400000US36047052800,,121000,652,262,15.0,0.401840490797546
1400000US36047052900,,39549,1067,582,16.4,0.5454545454545454
1400000US36047053000,,78621,1184,476,22.1,0.40202702702702703
1400000US36047053101,,,579,377,42.5,0.6511226252158895
1400000US36047053102,,76635,1320,723,37.4,0.5477272727272727
1400000US36047053200,,72500,908,419,17.2,0.46145374449339205
1400000US36047053300,,34519,1683,1212,45.7,0.7201426024955436
1400000US36047053400,,83421,1328,652,9.8,0.49096385542168675
1400000US36047053500,,49244,1164,760,36.1,0.6529209621993127
1400000US36047053700,,44085,810,474,44.9,0.5851851851851851
1400000US36047053800,,65556,2420,1297,14.2,0.5359504132231405
1400000US36047053900,,46914,889,429,45.0,0.48256467941507314
1400000US36047054200,,56481,1580,782,24.3,0.49493670886075947
1400000US36047054300,,,0,0,,
1400000US36047054400,,55938,1299,465,15.6,0.3579676674364896
1400000US36047054500,,42071,2454,1819,34.2,0.741238793806031
1400000US36047054600,,74651,1895,1069,24.1,0.5641160949868074
1400000US36047054700,,87047,2914,2209,9.8,0.7580645161290323
1400000US36047054800,,83500,804,187,10.0,0.2325870646766169
1400000US36047054900,,183091,2086,1488,15.5,0.713326941514861
1400000US36047055000,,59955,1495,693,25.2,0.4635451505016722
1400000US36047055100,,171952,3279,2311,16.7,0.7047880451357121
1400000US36047055200,,69861,1324,708,17.7,0.5347432024169184
1400000US36047055300,,144083,1615,1024,21.0,0.6340557275541796
1400000US36047055400,,64894,1694,998,12.8,0.58913813459268
1400000US36047055500,,205860,4405,2867,3.2,0.6508513053348468
1400000US36047055600,,69485,1286,520,32.1,0.40435458786936235
1400000US36047055700,,136250,1000,719,1.6,0.719
1400000US36047055800,,61786,882,484,16.9,0.5487528344671202
1400000US36047056000,,74104,1450,668,10.4,0.4606896551724138
1400000US36047056100,,151875,1761,1132,6.1,0.6428165814877911
1400000US36047056200,,102083,534,45,10.2,0.08426966292134831
1400000US36047056301,,133636,2422,1386,13.3,0.5722543352601156
1400000US36047056302,,76351,1434,1162,9.9,0.810320781032078
1400000US36047056400,,86392,1111,343,4.1,0.30873087308730873
1400000US36047056500,,115329,1881,1320,4.7,0.7017543859649122
1400000US36047056600,,69286,852,385,29.6,0.4518779342723005
1400000US36047056800,,75521,545,142,14.4,0.26055045871559634
1400000US36047056900,,159286,894,550,4.2,0.6152125279642058
1400000US36047057000,,80216,1623,856,13.5,0.5274183610597659
1400000US36047057100,,125272,2079,1447,7.6,0.696007696007696
1400000US36047057200,,31864,2145,1597,34.1,0.7445221445221445
1400000US36047057300,,150885,1405,690,7.1,0.49110320284697506
1400000US36047057400,,92813,974,220,11.5,0.22587268993839835
1400000US36047057500,,128804,2276,1464,10.5,0.6432337434094904
1400000US36047057600,,98750,974,476,22.2,0.4887063655030801
1400000US36047057800,,61919,1124,643,12.0,0.5720640569395018
1400000US36047057901,,141754,606,360,22.5,0.594059405940594
1400000US36047057902,,,0,0,,
1400000US36047058000,,38945,1127,634,27.9,0.5625554569653949
1400000US36047058200,,60811,782,438,16.6,0.5601023017902813
1400000US36047058400,,70870,1427,616,15.7,0.4316748423265592
1400000US36047058600,,70167,770,251,33.0,0.32597402597402597
1400000US36047058800,,96838,1473,635,10.8,0.43109300746775286
1400000US36047058901,,114659,919,459,11.6,0.499455930359086
1400000US36047058902,,,0,0,,
1400000US36047059000,,103619,656,357,11.7,0.5442073170731707
1400000US36047059100,,133795,1983,1041,5.1,0.5249621785173979
1400000US36047059200,,61944,1640,762,19.9,0.46463414634146344
1400000US36047059300,,110625,1034,509,15.5,0.4922630560928433
1400000US36047059402,,68625,2387,624,8.6,0.26141600335148724
1400000US36047059403,,67232,1111,497,9.2,0.44734473447344736
1400000US36047059404,,65520,1539,915,7.5,0.594541910331384
1400000US36047059600,,56757,1168,406,12.3,0.3476027397260274
1400000US36047059800,,81051,1294,597,9.2,0.4613601236476043
1400000US36047060000,,75671,2566,995,15.9,0.3877630553390491
1400000US36047060600,,76080,1377,577,14.7,0.4190268700072622
1400000US36047060800,,73546,1731,893,14.8,0.5158867706528019
1400000US36047061002,,71944,2526,1310,13.8,0.5186064924782264
